3725.54,313.46,70,6.1
3257.4,0,68,9.5
1350.67,78.19,71,7.2
1905.46,77.62,71,6.2
3777.36,0,72,6.5
13228.44,0,73,5.8
6235.2,196.08,65,5.8
5774.78,60.26,73,6.9
26136.6,0,70,5.3
21690.36,0,69,6.2
5902.02,32.34,73,6
4270.68,0,62,5.6
7823.87,3.23,69,5.1
42199.44,0,73,7.1
2729.88,0,67,5.9
27712.38,6297.66,69,7.2
8414.04,0,72,5.8
3555,0,69,5.3
4461.6,0,72,6.8
5672.1,94.5,70,7.8
4596.84,45.36,72,12.6
9150.74,75.74,71,6.6
5668.4,78.08,70,6.7
19694.59,54.43,60,6.4
449.8,27.76,62,11.5
5873.72,85.88,69,6.6
21823.71,13115.91,65,7.9
1807.44,0,75,5.2
3579.84,0,71,6.4
33814.6,1941.64,75,7.5
88268.54,28.34,70,5.4
42954.68,4253.72,60,12
2429.04,0,66,6.2
18911.28,0,73,5.7
31554.84,0,74,5.6
18688.47,36.75,73,6.8
19721.25,68.01,70,6.5
2617.99,41.83,73,7.5
1226.43,63.27,75,6.6
34343.16,0,60,6.9
4992.36,0,75,6.8
3922.37,38.81,68,7
7723.32,94.68,72,6.1
2786.57,79.61,75,6.3
34228.32,0,67,6.6
6398.46,10.62,57,6.9
10435.07,52.31,56,9.3
5021.83,25.87,72,6.5
2169.96,0,72,6.1
20534.76,0,75,6.8
2759.04,0,71,6.2
2002.04,74.84,70,8.7
45547.1,22154.66,51,8.3
19833.64,6009.4,75,8.8
8174.76,0,75,5.6
7017,0,71,6.2
15554.62,45.82,75,9.5
2305.34,112.58,71,7.2
7130.93,19.37,46,5.8
12999.99,1618.59,68,8.1
3523.47,79.95,70,7.9
15986.53,62.41,73,6.9
6596.2,57.52,60,13.3
12214.14,64.74,71,5.6
12364.56,55.2,62,8.5
6229.68,0,73,6.4
7009.08,0,70,6.6
20822.06,44.18,57,5.7
2079.84,66.24,73,8
3786.96,0,52,6.5
6966.51,69.03,75,6.9
40239.48,0,68,8
